año_hecho,departamen,provincia,distrito,denuncias_dep,geom
2021,LIMA,LIMA,LINCE,5,-77.0321328|-77.029214|-77.0262498|-77.0304803|-77.0373078|-12.0866677|-12.0908239999999|-12.0840051|-12.0835463999999|-12.0808537
2021,LIMA,LIMA,LOS OLIVOS,34,-77.07438|-77.0760253999999|-77.0709377|-77.0724935|-77.0705837|-77.0722465|-77.0698537|-77.0748275|-77.0767379|-77.0828655999999|-77.0704772|-77.0637723|-77.064316123|-77.0642967|-77.0633799|-77.0710877|-11.9609998|-11.9593004999999|-11.9543174999999|-11.9720613|-11.9676848999999|-11.9786616|-11.9912904999999|-11.9878444999999|-11.9945526999999|-11.9956979|-12.0038029999999|-11.9991403999999|-12.001504284|-12.0026263|-12.0084684999999|-11.9495385999999
2021,LIMA,LIMA,MAGDALENA DEL MAR,11,-77.0740977|-77.075121|-77.0700298|-77.0722936|-77.0735423|-77.072367|-77.0611235|-77.067218|-77.061465|-12.0912673999999|-12.0912902|-12.0904161|-12.0905885999999|-12.0877411|-12.0878129|-12.0977804|-12.0934541999999|-12.0997465
2021,LIMA,LIMA,MIRAFLORES,2,-77.030539|-12.1218772999999
2021,LIMA,LIMA,PACHACAMAC,4,-76.866667|-76.883403|-76.8818592|-12.166667|-12.0989592|-12.0894776
2021,LIMA,LIMA,PUCUSANA,2,-76.7995089999999|-76.7565534|-12.4827299999999|-12.4621495
2021,LIMA,LIMA,PUENTE PIEDRA,16,-77.0744298|-77.0738835|-77.0762852999999|-77.0815603|-77.082688|-77.0855789999999|-77.110077|-11.8648256|-11.8645332999999|-11.8785641|-11.8749151|-11.9303389999999|-11.9361845999999|-11.8364053999999
2021,LIMA,LIMA,RIMAC,19,-77.0224639|-77.0344412|-77.0337353|-77.0334624|-77.0366079999999|-77.0311985|-77.0296246|-77.0294767999999|-77.0267784|-77.0283798|-77.0332342|-77.0312154|-77.0298192|-77.0168409999999|-77.0244196|-77.0328781|-77.0326115999999|-12.0431603|-12.0369307|-12.0345055999999|-12.0330008|-12.0336311999999|-12.0229472999999|-12.0211469|-12.0233418|-12.0241842999999|-12.0245527|-12.0252389999999|-12.0289903999999|-12.0316116999999|-12.039392|-12.0153827|-12.013054|-12.0115792
2021,LIMA,LIMA,SAN BORJA,2,-76.9827956999999|-77.003765|-12.0959197|-12.0867183999999
2021,LIMA,LIMA,SAN ISIDRO,7,-77.0095666|-77.0347745|-77.035857|-77.0401353|-77.0204236|-77.0175332|-77.0196116|-12.0929138|-12.1040803|-12.0974486|-12.1080926|-12.0974851999999|-12.1005021999999|-12.1001226999999
2021,LIMA,LIMA,SAN JUAN DE LURIGANCHO,62,-76.984373787|-76.98138656|-76.9809577|-76.9830931|-76.9813686|-76.9949061|-76.9939836|-76.9894212|-76.9895606|-76.9875007|-76.9965387999999|-76.9995387|-77.0024046999999|-77.0009583|-77.0034662|-77.0089346999999|-77.0098242|-77.0025564|-76.9986385999999|-76.9967071|-76.9937614|-76.9956021|-76.9915478999999|-76.9915208|-76.9921107|-76.9933919|-76.9953805|-77.0063003|-77.0083142|-77.0086034999999|-76.9996601|-77.0058166|-77.0087324|-77.0118957|-77.0170878|-77.0206238|-76.984748988|-76.9707869|-11.972365117|-11.95508252|-11.9492157999999|-11.9537801999999|-11.9703233999999|-11.9701856|-11.9689301|-11.9638143999999|-11.9656161999999|-11.9597841|-11.9516414|-11.9604239|-11.955753|-11.9632839|-11.9672854|-11.9755521|-11.9833194|-11.9752032|-11.9767778|-11.9755405|-11.9769262999999|-11.9742906|-11.9759581|-11.9823516|-11.9809840999999|-11.9828329|-11.9801434999999|-11.9941903|-11.9994679|-12.0002888|-12.0017124999999|-12.0060104|-12.0070052|-12.0054696|-11.9878302|-11.9746994|-11.947922111|-11.9380007
2021,LIMA,LIMA,SAN JUAN DE MIRAFLORES,3,-76.959553392|-76.958389784|-76.955857779|-12.127732222|-12.131086857|-12.1326392619999
2021,LIMA,LIMA,SAN MARTIN DE PORRES,40,-77.110292|-77.1078848|-77.0868097|-77.0843167|-77.0968819999999|-77.097261|-77.1009808|-77.1001525|-77.0967032|-77.085137|-77.0818706|-77.0834389519999|-77.0882898|-77.0747059|-77.0723048|-77.0775643|-77.0748533|-77.072694|-77.062765649|-77.064312|-77.066516112|-77.0569167|-77.071269|-77.052457|-77.0913649999999|-11.9940794999999|-11.9719926|-11.9678223999999|-11.9787982|-11.9815573|-11.9815163|-11.981079|-11.9889332|-11.9901217999999|-12.0176106|-12.0273933|-12.0289204269999|-12.0286594999999|-12.0219751999999|-12.0307746999999|-12.0319855|-12.0336014|-12.0319751|-12.0325604619999|-12.0338492|-12.0284236169999|-12.0102730999999|-12.0124504|-12.0240830999999|-11.9477403
